KOs,Astragalus sinicus1,Astragalus sinicus2,Astragalus sinicus3,Astragalus sinicus4,Melilotus officinalis1,Melilotus officinalis2,Melilotus officinalis3,Melilotus officinalis4,Vicia villosa1,Vicia villosa2,Vicia villosa3,Vicia villosa4,Pisum sativum1,Pisum sativum2,Pisum sativum3,Pisum sativum4,Trifolium incarnatum1,Trifolium incarnatum2,Trifolium incarnatum3,Trifolium incarnatum4,Medicago sativa1,Medicago sativa2,Medicago sativa3,Medicago sativa4,Fagopyrum tataricum1,Fagopyrum tataricum2,Fagopyrum tataricum3,Fagopyrum tataricum4,Brassica juncea1,Brassica juncea2,Brassica juncea3,Brassica juncea4,Cichorium intybus1,Cichorium intybus2,Cichorium intybus3,Cichorium intybus4,Lolium multiflorum1,Lolium multiflorum2,Lolium multiflorum3,Lolium multiflorum4,Triticum turgidum1,Triticum turgidum2,Triticum turgidum3,Triticum turgidum4
K01586,355.307,324.385,357.555,395.254,390.92,372.704,395.464,382.816,472.616,413.627,416.232,443.423,393.15,404.375,381.188,389.993,363.887,351.017,344.162,402.489,348.967,373.558,373.56,452.779,400.072,382.928,412.64,374.888,562.607,329.257,331.836,396.564,375.873,353.397,390.403,367.517,403.477,376.368,438.905,378.345,371.502,392.72,434.833,364.595
K01587,0.235,0.064,0.198,0.056,0,0.074,0,0,0,0.412,0.336,0.172,0.343,0.227,0.26,0.149,0.153,0.087,0.028,0,0,0.027,0.121,0.21,0.227,0.319,1.275,0.091,0,0.061,0.051,0.945,0,0.146,0.093,0,0.647,0.682,0.254,0.455,0.386,1.533,0.313,0.682
K01588,258.185,256.966,261.342,267.602,303.831,291.903,284.412,290.827,312.623,295.464,265.764,291.389,272.476,281.726,265.98,288.511,261.11,265.186,255.058,270.437,281.504,281.706,296.65,280.221,287.165,284.419,279.224,285.193,288.246,251.826,238.327,272.283,270.899,263.572,287.164,259.37,271.887,251.954,280.743,257.976,273.266,264.246,284.119,254.913
K01589,261.748,261.617,286.199,290.694,323.306,301.737,305.304,309.787,330.398,319.198,299.624,324.712,313.433,305.101,296.121,314.111,280.163,281.996,286.096,296.121,291.163,305.751,311.388,316.253,279.833,262.103,306.198,284.63,291.167,269.787,277.82,283.5,281.953,274.97,300.116,286.92,298.739,250.341,289.049,273.493,270.455,259.764,304.422,265.871
K01590,21.791,5.874,10.607,48.083,3.247,3.43,3.666,5.112,8.877,8.605,9.645,9.351,22.728,33.861,18.431,15.626,6.424,5.674,6.146,11.742,5.959,3.746,3.338,5.729,5.389,4.718,4.869,3.952,1.847,5.549,8.321,6.545,2.551,2.277,3.172,2.181,7.647,8.264,12.795,10.988,7.711,10.441,7.933,5.699
K01591,228.565,227.1,245.306,241.912,266.818,260.489,265.896,267.635,262.119,263.988,250.568,257.252,282.28,294.029,249.283,302.033,255.063,244.309,245.76,260.865,245.956,255.749,239.105,298.911,295.339,268.883,289.22,250.722,225.648,234.648,246.802,270.469,231.648,233.662,240.182,240.264,249.395,260.147,300.187,263.496,248.856,270.394,276.65,276.272
K01593,53.683,99.117,67.328,102.283,68.476,83.012,77.195,81.193,122.879,105.629,83.633,116.658,122.941,141.907,95.935,170.938,57.739,59.602,47.853,89.833,38.418,37.379,45.22,134.57,401.016,283.992,454.106,119.716,39.018,53.695,71.972,186.051,113.975,84.741,111.194,102.534,177.01,261.788,433.403,244.124,232.14,309.504,484.636,242.494
K01594,0.142,0.256,0.392,0.275,0.093,0.224,0.328,0.096,1.976,3.038,1.082,1.088,0.198,0.415,0.153,0.627,0.413,0.139,0.093,1.657,0.231,0.165,0.087,0.047,0.295,0.243,0.768,0.29,0.344,0.138,0.356,0.147,0.19,0.13,0.277,0,0.707,0.868,1.414,0.25,0.842,0.303,0,0.257
K01595,371.325,377.158,373.709,412.638,394.479,386.549,396.062,395.664,397.343,399.434,393.725,406.821,421.81,423.69,404.034,412.907,388.486,399.396,383.188,400.814,374.083,397.297,393.815,439.542,348.017,312.925,337.911,361.006,387.574,373.807,378.915,354.151,348.633,382.439,355.873,345.874,411.692,304.204,385.521,315.926,341.251,349.387,364.487,323.92
K01596,49.385,67.564,116.549,91.516,120.669,194.023,158.515,164.188,119.131,106.567,149.084,129.557,194.42,218.242,140.57,239.943,91.259,74.063,75.901,123.358,67.715,62.463,68.72,214.496,288.471,214.216,308.26,145.561,53.44,68.207,102.972,266.524,130.853,97.755,128.218,102.008,149.082,345.742,265.13,308.588,267.663,281.717,249.271,282.494
